pdb_name,processed_path,quaternary_category,num_chains,seq_len,modeled_seq_len,coil_percent,helix_percent,strand_percent,radius_gyration,modeled_indep_seq_len,moduled_num_res,seq_hash,seq_hash_indep,structure_method,mean_plddt_all_atom,num_backbone_interactions,chain_clashes,mean_plddt_modeled_bb,num_chains_clashing,num_backbone_res_interacting,chain_interactions
length_184_id_6,./train_set/processed_synthetic/length_184_id_6.pkl,homomer,1,184,184,0.108695652173913,0.8913043478260869,0.0,1.8568887660881328,184,184,964f0b0eca697b4c60b0bb2287e20551,964f0b0eca697b4c60b0bb2287e20551,AFDB,17.664222972972972,0,,,0,0,
length_298_id_0,./train_set/processed_synthetic/length_298_id_0.pkl,homomer,1,298,298,0.1610738255033557,0.8053691275167785,0.0335570469798657,1.814116236225268,298,298,a6d0ea41cfcf64b1be3c83d79f3c006f,a6d0ea41cfcf64b1be3c83d79f3c006f,AFDB,15.584971884636316,0,,,0,0,
length_152_id_22,./train_set/processed_synthetic/length_152_id_22.pkl,homomer,1,152,152,0.0855263157894736,0.9144736842105264,0.0,1.5106286142843022,152,152,b16dd55147d65427d576d12805ab5761,b16dd55147d65427d576d12805ab5761,AFDB,17.238445945945944,0,,,0,0,
length_108_id_4,./train_set/processed_synthetic/length_108_id_4.pkl,homomer,1,108,108,0.2962962962962963,0.4074074074074074,0.2962962962962963,1.422673551596825,108,108,2e0b70a5860c2d15afd72ac9b6cd3c67,2e0b70a5860c2d15afd72ac9b6cd3c67,AFDB,14.013005505505506,0,,,0,0,
length_214_id_2,./train_set/processed_synthetic/length_214_id_2.pkl,homomer,1,214,214,0.1728971962616822,0.6308411214953271,0.1962616822429906,1.6617834589836733,214,214,d6dac2282b41d84567fdb7e31e70c86f,d6dac2282b41d84567fdb7e31e70c86f,AFDB,19.153307653447843,0,,,0,0,
length_252_id_3,./train_set/processed_synthetic/length_252_id_3.pkl,homomer,1,252,252,0.1626984126984127,0.7380952380952381,0.0992063492063492,1.9993547269995853,252,252,dcd2ff7be957504aaa5131fa85d5ef8c,dcd2ff7be957504aaa5131fa85d5ef8c,AFDB,17.653547833547833,0,,,0,0,
length_151_id_10,./train_set/processed_synthetic/length_151_id_10.pkl,homomer,1,151,151,0.2317880794701986,0.4569536423841059,0.3112582781456953,1.535534556528328,151,151,0c99b11eda60a99d8ec45873e28e7db0,0c99b11eda60a99d8ec45873e28e7db0,AFDB,14.971687846787185,0,,,0,0,
length_127_id_17,./train_set/processed_synthetic/length_127_id_17.pkl,homomer,1,127,127,0.2992125984251969,0.0,0.7007874015748031,1.5124244704208245,127,127,99307f7f8e966feff32176cd75c4e97e,99307f7f8e966feff32176cd75c4e97e,AFDB,15.772830389444563,0,,,0,0,
length_168_id_14,./train_set/processed_synthetic/length_168_id_14.pkl,homomer,1,168,168,0.2738095238095238,0.0,0.7261904761904762,1.9642285320693469,168,168,8f8972fd25c25a11d4d8605892cc7241,8f8972fd25c25a11d4d8605892cc7241,AFDB,15.785339446589443,0,,,0,0,
length_243_id_5,./train_set/processed_synthetic/length_243_id_5.pkl,homomer,1,243,243,0.2469135802469135,0.6172839506172839,0.1358024691358024,1.7869464722446762,243,243,af9eac48264f1b73947db1c6123d9fa0,af9eac48264f1b73947db1c6123d9fa0,AFDB,14.79441552663775,0,,,0,0,
length_104_id_18,./train_set/processed_synthetic/length_104_id_18.pkl,homomer,1,104,104,0.1826923076923076,0.8173076923076923,0.0,1.3347282281724977,104,104,888c17e9b05ab7cbb0a648cca2e24d5a,888c17e9b05ab7cbb0a648cca2e24d5a,AFDB,18.63133575883576,0,,,0,0,
length_205_id_4,./train_set/processed_synthetic/length_205_id_4.pkl,homomer,1,205,205,0.2146341463414634,0.526829268292683,0.2585365853658536,1.8596109782572283,205,205,3b56c887251ad258b6ce71cb95173844,3b56c887251ad258b6ce71cb95173844,AFDB,16.379139090309824,0,,,0,0,
length_119_id_2,./train_set/processed_synthetic/length_119_id_2.pkl,homomer,1,119,119,0.0840336134453781,0.9159663865546218,0.0,1.544149317977752,119,119,96f42648e98f02ea635dc39bc4915516,96f42648e98f02ea635dc39bc4915516,AFDB,19.57339086986146,0,,,0,0,
length_289_id_6,./train_set/processed_synthetic/length_289_id_6.pkl,homomer,1,289,289,0.3252595155709342,0.4878892733564013,0.1868512110726643,1.7803227447915315,289,289,258a32e593e1b53a6b33624fefb64f0a,258a32e593e1b53a6b33624fefb64f0a,AFDB,15.126020761245673,0,,,0,0,
length_195_id_0,./train_set/processed_synthetic/length_195_id_0.pkl,homomer,1,195,195,0.2564102564102564,0.4923076923076923,0.2512820512820513,1.5500970676123007,195,195,5180d81dcc8a17fed2fd03903d001456,5180d81dcc8a17fed2fd03903d001456,AFDB,14.048397782397783,0,,,0,0,
length_78_id_20,./train_set/processed_synthetic/length_78_id_20.pkl,homomer,1,78,78,0.1282051282051282,0.8717948717948718,0.0,1.1973305662581613,78,78,ce035736b63a0bf98cc1eeb22bac2a7f,ce035736b63a0bf98cc1eeb22bac2a7f,AFDB,18.32085932085932,0,,,0,0,
length_321_id_22,./train_set/processed_synthetic/length_321_id_22.pkl,homomer,1,321,321,0.0529595015576324,0.9470404984423676,0.0,2.1258327559440007,321,321,77415cf682b5d18a5f81bed758e45abc,77415cf682b5d18a5f81bed758e45abc,AFDB,16.589775195756502,0,,,0,0,
length_75_id_8,./train_set/processed_synthetic/length_75_id_8.pkl,homomer,1,75,75,0.2666666666666666,0.1333333333333333,0.6,1.170574517334383,75,75,ac1154740b33007041318ac81e567f05,ac1154740b33007041318ac81e567f05,AFDB,16.72073873873874,0,,,0,0,
length_261_id_9,./train_set/processed_synthetic/length_261_id_9.pkl,homomer,1,261,261,0.2222222222222222,0.6743295019157088,0.1034482758620689,1.7814725857860951,261,261,54c43e0470342b50ec0d302a697b5266,54c43e0470342b50ec0d302a697b5266,AFDB,16.116307341824584,0,,,0,0,
length_287_id_10,./train_set/processed_synthetic/length_287_id_10.pkl,homomer,1,287,287,0.2822299651567944,0.5226480836236934,0.1951219512195122,1.9192131712163247,287,287,73070fe8580cf8bb199dd0a3f8add165,73070fe8580cf8bb199dd0a3f8add165,AFDB,15.669483002165927,0,,,0,0,
length_227_id_8,./train_set/processed_synthetic/length_227_id_8.pkl,homomer,1,227,227,0.2158590308370044,0.6299559471365639,0.1541850220264317,1.740960227380191,227,227,448755725a6b9cf7eaf09feb354c9a74,448755725a6b9cf7eaf09feb354c9a74,AFDB,15.821293011072747,0,,,0,0,
length_354_id_17,./train_set/processed_synthetic/length_354_id_17.pkl,homomer,1,354,354,0.3022598870056497,0.3135593220338983,0.384180790960452,2.1257018170452056,354,354,9ec440a4f2d0abc7351ff6c606b54473,9ec440a4f2d0abc7351ff6c606b54473,AFDB,14.840029012062912,0,,,0,0,
length_284_id_22,./train_set/processed_synthetic/length_284_id_22.pkl,homomer,1,284,284,0.2746478873239437,0.5211267605633803,0.204225352112676,1.7856546541017386,284,284,6ee47d559304adcf310f8acf5c47ca5d,6ee47d559304adcf310f8acf5c47ca5d,AFDB,16.573770460601445,0,,,0,0,
length_61_id_19,./train_set/processed_synthetic/length_61_id_19.pkl,homomer,1,61,61,0.2622950819672131,0.7377049180327869,0.0,1.2744381424854,61,61,2fa623629c4319b8b0f071781b570178,2fa623629c4319b8b0f071781b570178,AFDB,18.87825875055383,0,,,0,0,
